Application_ID,Application_Date,Loan_Approval_Status,Age_at_Application,Marital_Status,Gender,Own_Rent_Home,Occupation_Professional_Category,Type_of_Business_Industry_of_Employment,Employment_Status,Time_at_Current_Employment_(Months),Number_of_Dependents,Loan_Purpose,Monthly_Income,Government_Employee,Marital_Status_Missing,Own_Rent_Home_Missing,Type_of_Business_Missing,Number_of_Dependents_Missing,Monthly_Income_Capped,Monthly_Income_Log,Employment_Time_Capped,Employment_Stability_Score,Age_Bin,Has_Dependents
C302100001,2015-09-15,Approved,39.0,Unmarried,Female,Own,Unknown,Other,Full-Time,6.0,2.0,Home Improvement,1500.59,Unknown,0,0,0,0,1500.59,7.314279825686991,6.0,0,Established,1
C302100002,2015-08-31,Approved,29.0,Unmarried,Female,Family,Unknown,Unknown,Full-Time,25.0,0.0,Debt Consolidation,3769.36,Unknown,0,0,1,0,3769.36,8.234925766599288,25.0,0,Emerging,0
C302100003,2015-09-21,Approved,24.0,Unmarried,Male,Family,Unknown,Unknown,Full-Time,7.0,0.0,Home Improvement,2197.1,Unknown,0,0,1,0,2197.1,7.695348629834028,7.0,0,Young,0
C302100004,2015-11-14,Approved,54.0,Unmarried,Male,Rent,Unknown,Unknown,Full-Time,105.0,4.0,Debt Consolidation,1094.45,False,0,0,1,0,1094.45,6.998920516734228,105.0,0,Senior,1
C302100005,2015-11-18,Approved,30.0,Unmarried,Female,Family,Unknown,Unknown,Full-Time,60.0,1.0,Vacation,3798.4,True,0,0,1,0,3798.4,8.242598438510948,60.0,0,Emerging,1
C302100006,2015-12-08,Approved,68.0,Unmarried,Male,Family,Unknown,Unknown,Retired,55.0,0.0,Other,6067.23,False,0,0,1,0,6067.23,8.71082224350751,55.0,0,Senior,0
C302100007,2016-01-03,Approved,46.0,Unmarried,Female,Own,Unknown,Education,Full-Time,108.0,0.0,Home Improvement,2334.89,True,0,0,0,0,2334.89,7.7561482537982975,108.0,0,Established,0
C302100008,2015-12-19,Approved,57.0,Unmarried,Female,Own,Unknown,Unknown,Self Employed,55.0,1.0,Home Improvement,2742.56,False,0,0,1,0,2742.56,7.917011626134136,55.0,0,Senior,1
C302100009,2015-12-20,Approved,40.0,Married,Female,Own,Pensioner,Agriculture,Self Employed,55.0,0.0,Other,2743.26,False,0,0,0,0,2743.26,7.9172667365436595,55.0,0,Established,0
C302100010,2016-01-20,Approved,58.0,Married,Female,Own,Service and Sales Worker,Food & Beverage Services,Full-Time,336.0,0.0,Debt Consolidation,1362.06,False,0,0,0,0,1362.06,7.217487451270577,336.0,0,Senior,0
C302100011,2016-01-24,Approved,55.0,Married,Male,Family,Unknown,Transportation & Communication,Contract,14.0,0.0,Other,1406.8,False,0,0,0,0,1406.8,7.249783481174031,14.0,0,Senior,0
C302100012,2016-01-31,Approved,55.0,Married,Male,Rent,Unknown,Tourism,Full-Time,88.0,0.0,Home Improvement,4392.82,False,0,0,0,0,4392.82,8.387954287153262,88.0,0,Senior,0
