Application_ID,CRB Score,CRB Grade
C302102137,593,D
C302106175,625,C
C302106175,616,C
C302103572,629,C
C302100598,685,A
C302104210,651,B
C302104713,578,D
C302106940,667,B
C302104861,639,C
C302107333,573,D
C302107333,624,C
C302105342,664,B
C302107858,250,E
C302101973,626,C
C302104557,584,D
C302107876,594,D
C302103961,682,B
C302105381,647,B
C302105093,250,E
C302105333,664,B
C302103135,636,C
C302101968,636,C
C302107837,671,B
C302104163,627,C
C302103929,250,E
C302105562,531,E
C302105562,547,E
C302105562,250,E
C302104955,602,D
C302104955,582,D
C302100586,657,B
C302105727,696,A
C302100416,665,B
C302106397,679,B
C302104366,639,C
C302100306,639,C
C302100306,577,D
C302106667,250,E
C302102483,527,E
C302104295,668,B
C302104070,683,A
C302104070,661,B
C302105455,597,D
C302101504,681,B
C302101205,664,B
C302103187,622,C
C302105707,644,C
C302107280,250,E
C302101875,604,D
C302105027,594,D
C302105027,590,D
C302109248,685,A
C302105974,554,E
C302108705,250,E
C302108327,626,C
C302107331,603,D
C302105047,694,A
C302100324,671,B
C302100324,541,E
C302100136,604,D
C302107874,250,E
C302103955,710,A
C302107132,610,D
C302100112,659,B
C302100285,999,X
C302100285,625,C
C302100327,631,C
C302102294,658,B
C302105014,599,D
C302103657,622,C
C302106895,692,A
C302101536,600,D
C302103680,602,D
C302105380,629,C
C302105693,999,X
C302105693,630,C
C302100241,250,E
C302102731,641,C
C302101554,691,A
C302101554,671,B
C302104576,250,E
C302102411,621,C
C302102411,632,C
C302107076,703,A
C302104886,602,D
C302102584,680,B
C302101645,621,C
C302101645,675,B
C302100396,610,D
C302100472,551,E
C302100472,567,D
C302107205,679,B
C302101441,601,D
C302101886,671,B
C302101886,623,C
C302106775,627,C
C302106775,615,C
C302108306,604,D
C302108798,599,D
C302106270,601,D
C302103477,250,E
C302103191,250,E
C302104904,250,E
C302102673,999,X
C302106469,663,B
C302104811,698,A
C302104811,698,A
C302108047,250,E
C302104740,622,C
C302104236,617,C
C302106961,629,C
C302106296,598,D
C302103983,649,B
C302103983,685,A
C302107924,616,C
C302108466,587,D
C302104952,671,B
C302109225,706,A
C302101842,583,D
C302104111,999,X
C302105582,613,C
C302105672,636,C
C302100509,566,D
C302106898,250,E
C302100049,250,E
C302106641,668,B
C302101546,592,D
C302107828,661,B
C302100125,686,A
C302100484,250,E
C302107057,605,D
C302105790,673,B
C302100846,650,B
C302103495,250,E
C302101879,619,C
C302100225,643,C
C302104808,550,E
C302104808,550,E
C302102109,643,C
C302102109,636,C
C302101475,712,A
C302101559,672,B
C302101559,655,B
C302104122,593,D
C302107229,638,C
C302106356,695,A
C302100025,643,C
C302102192,573,D
C302105392,673,B
C302107067,627,C
C302107067,627,C
C302105689,683,A
C302100342,250,E
C302104439,250,E
C302103505,603,D
C302101796,660,B
C302102793,662,B
C302100227,636,C
C302101691,642,C
C302101691,616,C
C302103913,550,E
C302104011,573,D
C302106752,627,C
C302105875,671,B
C302105874,629,C
C302103409,599,D
C302104129,606,D
C302104270,682,B
C302101483,668,B
C302106267,683,A
C302104003,618,C
C302108213,605,D
C302104065,674,B
C302103144,250,E
C302105992,621,C
C302105992,619,C
C302107940,598,D
C302104772,250,E
C302106669,611,C
C302101872,679,B
C302104286,999,X
C302108023,999,X
C302103821,250,E
C302100021,659,B
C302106124,675,B
C302106947,686,A
C302100192,250,E
C302108799,702,A
C302102456,601,D
C302105235,640,C
C302106026,619,C
C302106026,619,C
C302103956,597,D
C302104354,652,B
C302104110,658,B
C302100624,618,C
C302102202,627,C
C302104362,999,X
C302101361,621,C
C302101361,582,D
C302105270,683,A
C302100689,670,B
C302103584,652,B
C302104503,556,E
C302108117,250,E
C302100562,582,D
C302105686,664,B
C302105686,658,B
C302100593,691,A
C302100593,704,A
C302104897,642,C
C302104897,652,B
C302103455,685,A
C302107225,588,D
C302100383,250,E
C302107911,619,C
C302104064,617,C
C302108333,655,B
C302106071,687,A
C302104799,603,D
C302102944,999,X
C302106604,657,B
C302106604,650,B
C302100347,639,C
C302108425,568,D
C302108131,560,E
C302107848,250,E
C302104651,595,D
C302104651,595,D
C302100610,598,D
C302108656,580,D
C302108656,584,D
C302103036,572,D
C302108168,250,E
C302106460,596,D
C302100290,250,E
C302100290,250,E
C302106646,678,B
C302100171,250,E
C302100753,999,X
C302104333,713,A
C302109194,636,C
C302108334,250,E
C302105090,661,B
C302105041,250,E
C302108369,613,C
C302106089,636,C
C302104486,615,C
C302108167,574,D
C302107105,724,A
C302106509,999,X
C302101572,250,E
C302101572,250,E
C302106357,652,B
C302100076,673,B
C302103373,622,C
C302102291,660,B
C302105427,675,B
C302105319,608,D
C302101888,657,B
C302101519,626,C
C302105074,579,D
C302105907,651,B
C302101388,999,X
C302101388,602,D
C302104028,604,D
C302101235,634,C
C302101235,640,C
C302108719,250,E
C302104565,668,B
C302104676,635,C
C302104676,633,C
C302103977,250,E
C302107796,652,B
C302108063,611,C
C302105098,615,C
C302105841,717,A
C302104521,589,D
C302104521,617,C
C302105577,676,B
C302105577,678,B
C302108344,598,D
C302106003,694,A
C302103875,561,D
C302105348,697,A
C302103891,642,C
C302103816,603,D
C302105753,660,B
C302105705,250,E
C302105705,250,E
C302101619,693,A
C302102014,631,C
C302106967,570,D
C302108394,250,E
C302105286,638,C
C302101544,649,B
C302108196,250,E
C302100027,626,C
C302108356,614,C
C302105537,557,E
C302100228,682,B
C302100434,700,A
C302102307,685,A
C302105051,250,E
C302100381,250,E
C302106188,623,C
C302108446,578,D
C302104300,626,C
C302103766,614,C
C302100336,620,C
C302100548,664,B
C302104158,670,B
C302104042,582,D
C302107400,675,B
C302103343,250,E
C302102059,650,B
C302105264,688,A
C302108182,658,B
C302104101,644,C
C302106279,659,B
C302101773,662,B
C302105799,605,D
C302105352,676,B
C302103327,665,B
C302106836,623,C
C302103090,638,C
C302103090,618,C
C302102862,661,B
C302102645,611,C
C302103769,708,A
C302100587,250,E
C302100587,250,E
C302100916,695,A
C302103474,696,A
C302104499,250,E
C302105002,580,D
C302105575,649,B
C302105709,623,C
C302105951,599,D
C302102836,655,B
C302101909,667,B
C302105512,658,B
C302105169,691,A
C302106031,564,D
C302105029,621,C
C302104097,636,C
C302107235,609,D
C302102389,620,C
C302104494,605,D
C302103268,668,B
C302106603,653,B
C302101791,666,B
C302108021,649,B
C302104746,608,D
C302103706,608,D
C302103729,581,D
C302100298,589,D
C302100298,567,D
C302100441,250,E
C302106568,250,E
C302108375,584,D
C302105000,641,C
C302103867,628,C
C302101605,711,A
C302101605,702,A
C302104055,548,E
C302105107,603,D
C302103582,680,B
C302107817,662,B
C302104199,683,A
C302102505,625,C
C302104253,605,D
C302106711,584,D
C302106711,532,E
C302105653,626,C
C302107293,625,C
C302106132,690,A
C302108772,611,C
C302108072,619,C
C302102662,657,B
C302103577,718,A
C302108372,619,C
C302100568,632,C
C302100568,614,C
C302106436,650,B
C302106436,614,C
C302108900,250,E
C302106427,684,A
C302104170,630,C
C302108198,644,C
C302103532,671,B
C302109475,573,D
C302103219,635,C
C302104573,680,B
C302100041,628,C
C302100524,623,C
C302108016,250,E
C302107030,674,B
C302102376,639,C
C302102376,625,C
C302108341,642,C
C302104959,250,E
C302100528,677,B
C302104875,571,D
C302102644,666,B
C302102541,638,C
C302100706,708,A
C302103879,597,D
C302100931,663,B
C302105416,679,B
C302109177,250,E
C302100414,250,E
C302102269,644,C
C302102269,631,C
C302105833,600,D
C302106606,596,D
C302100912,663,B
C302100912,625,C
C302106731,593,D
C302106426,674,B
C302106426,642,C
C302104999,664,B
C302108389,607,D
C302101788,619,C
C302104930,585,D
C302100201,606,D
C302102408,640,C
C302102187,605,D
C302102187,593,D
C302105720,653,B
C302106657,594,D
C302105550,649,B
C302101958,620,C
C302101958,620,C
C302101958,612,C
C302102164,649,B
C302104001,639,C
C302104852,662,B
C302104852,634,C
C302104852,624,C
C302104947,662,B
C302108301,562,D
C302108301,250,E
C302103464,250,E
C302105291,250,E
C302104302,706,A
C302102143,672,B
C302102143,656,B
C302106985,633,C
C302105724,250,E
C302101922,647,B
C302104665,250,E
C302106135,591,D
C302104894,634,C
C302104800,638,C
C302108234,651,B
C302108234,659,B
C302108050,999,X
C302102384,692,A
C302107891,699,A
C302105631,676,B
C302108768,610,D
C302101480,537,E
C302101480,559,E
C302107883,611,C
C302102593,674,B
C302104698,634,C
C302104104,648,B
C302106875,617,C
C302103597,580,D
C302106670,609,D
C302101521,683,A
C302104371,250,E
C302108859,250,E
C302108862,679,B
C302104363,673,B
C302108312,692,A
C302104089,608,D
C302106332,590,D
C302106088,611,C
C302103608,631,C
C302100215,686,A
C302104819,654,B
C302102967,250,E
C302102967,250,E
C302100035,659,B
C302100314,611,C
C302104719,597,D
C302104719,602,D
