Contract_ID,Outstanding Amount_max,Outstanding Amount_mean,Outstanding Amount_last,Due Amount_max,Due Amount_mean,Number of Days Past Due_max,Number of Days Past Due_mean,Number of Days Past Due_count,Contract Status_<lambda>
CONT100001,24529.89,23011.5075,22330.22,4725.02,1341.68875,233.0,63.5,16,NonAccrual
CONT100002,35085.79,32400.21875,29642.88,1712.85,580.2674999999999,51.0,18.6875,16,Active
CONT100003,53564.88,53564.88,53564.88,0.0,0.0,0.0,0.0,1,Active
CONT100004,30510.11,30510.11,30510.11,0.0,0.0,0.0,0.0,1,Active
CONT100005,12302.46,12302.46,12302.46,0.0,0.0,0.0,0.0,1,Active
CONT100006,50734.54,50734.54,50734.54,0.0,0.0,0.0,0.0,1,Active
CONT100007,10555.62,10555.62,10555.62,0.0,0.0,0.0,0.0,1,Active
CONT100008,12335.87,12335.87,12335.87,0.0,0.0,0.0,0.0,1,Active
CONT100009,12040.56,12040.56,12040.56,0.0,0.0,0.0,0.0,1,Active
CONT100010,11057.66,11057.66,11057.66,0.0,0.0,0.0,0.0,1,Active
CONT100011,2611.58,2611.58,2611.58,0.0,0.0,0.0,0.0,1,Active
CONT100012,51825.93,51825.93,51825.93,0.0,0.0,0.0,0.0,1,Active
CONT100013,28437.49,28437.49,28437.49,0.0,0.0,0.0,0.0,1,Active
CONT100014,10365.18,10365.18,10365.18,0.0,0.0,0.0,0.0,1,Active
CONT100015,14760.42,14760.42,14760.42,0.0,0.0,0.0,0.0,1,Active
CONT100016,44422.23,44422.23,44422.23,0.0,0.0,0.0,0.0,1,Active
CONT100017,7364.38,7364.38,7364.38,0.0,0.0,0.0,0.0,1,Active
CONT100018,25867.67,25867.67,25867.67,0.0,0.0,0.0,0.0,1,Active
CONT100019,123641.27,123641.27,123641.27,0.0,0.0,0.0,0.0,1,Active
CONT100020,12292.15,12292.15,12292.15,0.0,0.0,0.0,0.0,1,Active
CONT100021,7990.2,7990.2,7990.2,0.0,0.0,0.0,0.0,1,Active
CONT100022,44349.64,44349.64,44349.64,0.0,0.0,0.0,0.0,1,Active
CONT100023,14790.25,14790.25,14790.25,0.0,0.0,0.0,0.0,1,Active
CONT100024,45672.73,45672.73,45672.73,0.0,0.0,0.0,0.0,1,Active
CONT100025,7375.29,7375.29,7375.29,0.0,0.0,0.0,0.0,1,Active
CONT100026,22678.97,22678.97,22678.97,0.0,0.0,0.0,0.0,1,Active
CONT100027,14744.1,14744.1,14744.1,0.0,0.0,0.0,0.0,1,Active
CONT100028,94613.53,94613.53,94613.53,0.0,0.0,0.0,0.0,1,Active
CONT100029,11377.16,11377.16,11377.16,0.0,0.0,0.0,0.0,1,Active
CONT100030,74752.68,74752.68,74752.68,0.0,0.0,0.0,0.0,1,Active
CONT100031,12809.43,12743.685000000001,12677.94,0.0,0.0,0.0,0.0,2,Active
CONT100032,27078.31,27078.31,27078.31,0.0,0.0,0.0,0.0,1,Active
CONT100033,86352.75,86352.75,86352.75,0.0,0.0,0.0,0.0,1,Active
CONT100034,24650.41,24650.41,24650.41,0.0,0.0,0.0,0.0,1,Active
CONT100035,74219.93,74219.93,74219.93,0.0,0.0,0.0,0.0,1,Active
CONT100036,11075.59,11075.59,11075.59,0.0,0.0,0.0,0.0,1,Active
CONT100037,8620.59,8620.59,8620.59,0.0,0.0,0.0,0.0,1,Active
CONT100038,49479.95,49254.195,49028.44,0.0,0.0,0.0,0.0,2,Active
CONT100039,11037.61,11037.61,11037.61,0.0,0.0,0.0,0.0,1,Active
CONT100040,12040.56,12040.56,12040.56,0.0,0.0,0.0,0.0,1,Active
CONT100041,24881.59,24753.455,24625.32,0.0,0.0,0.0,0.0,2,Active
CONT100042,7383.73,7350.035,7316.34,0.0,0.0,0.0,0.0,2,Active
CONT100043,3780.7,3691.325,3601.95,0.0,0.0,0.0,0.0,2,Active
CONT100044,3084.17,3041.735,2999.3,0.0,0.0,0.0,0.0,2,Active
CONT100045,6156.34,6053.455,5950.57,0.0,0.0,0.0,0.0,2,Active
CONT100046,10325.39,10325.39,10325.39,0.0,0.0,0.0,0.0,1,Active
CONT100047,17317.98,17236.425,17154.87,0.0,0.0,0.0,0.0,2,Active
CONT100048,4946.17,4946.17,4946.17,0.0,0.0,0.0,0.0,1,Active
CONT100049,36975.62,36796.285,36616.95,0.0,0.0,0.0,0.0,2,Active
CONT100050,36959.79,36803.82,36647.85,0.0,0.0,0.0,0.0,2,Active
CONT100051,14790.25,14790.25,14790.25,0.0,0.0,0.0,0.0,1,Active
CONT100052,39493.55,39302.005000000005,39110.46,0.0,0.0,0.0,0.0,2,Active
CONT100053,74050.41,73639.99,73229.57,0.0,0.0,0.0,0.0,2,Active
CONT100054,4264.31,4161.955,4059.6,0.0,0.0,0.0,0.0,2,Active
CONT100055,39493.55,39274.655,39055.76,0.0,0.0,0.0,0.0,2,Active
CONT100056,14882.95,14781.395,14679.84,0.0,0.0,0.0,0.0,2,Active
CONT100057,49415.71,49225.369999999995,49035.03,0.0,0.0,0.0,0.0,2,Active
CONT100058,123699.88,123080.91500000001,122461.95,144.99,72.495,4.0,2.0,2,Active
CONT100059,12054.23,11956.785,11859.34,0.0,0.0,0.0,0.0,2,Active
CONT100060,24646.66,24486.155,24325.65,0.0,0.0,0.0,0.0,2,Active
CONT100061,12300.56,12244.439999999999,12188.32,0.0,0.0,0.0,0.0,2,Active
CONT100062,11337.47,11263.634999999998,11189.8,0.0,0.0,0.0,0.0,2,Active
CONT100063,30930.34,30771.045,30611.75,0.0,0.0,0.0,0.0,2,Active
CONT100064,12255.29,12134.435000000001,12013.58,0.0,0.0,0.0,0.0,2,Active
CONT100065,33278.05,33106.67,32935.29,0.0,0.0,0.0,0.0,2,Active
CONT100066,17252.66,17140.305,17027.95,0.0,0.0,0.0,0.0,2,Active
CONT100067,43294.96,43084.985,42875.01,0.0,0.0,0.0,0.0,2,Active
CONT100068,28347.97,28190.855000000003,28033.74,0.0,0.0,0.0,0.0,2,Active
CONT100069,21028.98,20933.035,20837.09,0.0,0.0,0.0,0.0,2,Active
CONT100070,11092.68,11042.075,10991.47,0.0,0.0,0.0,0.0,2,Active
CONT100071,4946.17,4758.514999999999,4570.86,0.0,0.0,0.0,0.0,2,Active
CONT100072,44370.74,44124.82,43878.9,0.0,0.0,0.0,0.0,2,Active
CONT100073,7375.29,7302.555,7229.82,0.0,0.0,0.0,0.0,2,Active
CONT100074,21157.75,20918.593333333334,20682.11,0.0,0.0,0.0,0.0,3,Active
CONT100075,27159.81,27019.940000000002,26880.07,0.0,0.0,0.0,0.0,2,Active
CONT100076,17317.98,17228.79,17139.6,0.0,0.0,0.0,0.0,2,Active
CONT100077,9851.44,9743.333333333334,9689.28,313.93,104.64333333333333,3.0,1.0,3,Active
CONT100078,30813.01,30663.559999999998,30514.11,0.0,0.0,0.0,0.0,2,Active
CONT100079,25924.06,25523.13666666667,25124.06,0.0,0.0,0.0,0.0,3,Active
CONT100080,16762.27,16571.066666666666,16381.34,0.0,0.0,0.0,0.0,3,Active
CONT100081,96293.88,95371.81666666667,94462.93,0.0,0.0,0.0,0.0,3,Active
CONT100082,11848.07,11794.01,11739.95,0.0,0.0,0.0,0.0,2,Active
CONT100083,24683.94,24588.864999999998,24493.79,0.0,0.0,0.0,0.0,2,Active
CONT100084,8614.35,8440.023333333333,8266.33,0.0,0.0,0.0,0.0,3,Active
