Contract_ID,Application_ID,Loan_Type,Contract_Start_Date,Expected_Contract_End_Date,Loan_Term,Total_Loan_Amount,Outstanding Amount_max,Outstanding Amount_mean,Outstanding Amount_last,Due Amount_max,Due Amount_mean,Number of Days Past Due_max,Number of Days Past Due_mean,Number of Days Past Due_count,Loan_Default,Application_Date,Loan_Approval_Status,Age_at_Application,Marital_Status,Gender,Own_Rent_Home,Occupation_Professional_Category,Type_of_Business_Industry_of_Employment,Employment_Status,Time_at_Current_Employment_(Months),Number_of_Dependents,Loan_Purpose,Monthly_Income,Government_Employee,Marital_Status_Missing,Own_Rent_Home_Missing,Type_of_Business_Missing,Number_of_Dependents_Missing,Monthly_Income_Capped,Monthly_Income_Log,Employment_Time_Capped,Employment_Stability_Score,Age_Bin,Has_Dependents,CRB Score,CRB Grade,Average Balance,Overdraft Limit,Net_Cashflow,Liquidity_Ratio,Has_Bounced_Cheques
CONT100001,C302103426,Unsecured Personal Loan,2018-04-12,2023-04-12,60.0,24529.89,24529.89,23011.5075,22330.22,4725.02,1341.68875,233.0,63.5,16.0,1,2018-03-27,Approved,46.0,Unmarried,Male,Family,Professional,Environment & Sustainable Dev.,Full-Time,274.0,1.0,Other,7100.4,True,0,0,0,0,7100.4,8.868047226689965,274.0,0,Established,1,,,309.10741573033704,0.0,3.072643678160971,4.590574155642093,0
CONT100002,C302103426,Unsecured Personal Loan,2018-04-12,2023-04-12,60.0,35085.79,35085.79,32400.21875,29642.88,1712.85,580.2674999999999,51.0,18.6875,16.0,0,2018-03-27,Approved,46.0,Unmarried,Male,Family,Professional,Environment & Sustainable Dev.,Full-Time,274.0,1.0,Other,7100.4,True,0,0,0,0,7100.4,8.868047226689965,274.0,0,Established,1,,,309.10741573033704,0.0,3.072643678160971,4.590574155642093,0
CONT100003,C302107460,Unsecured Personal Loan,,2024-09-01,60.0,53564.88,53564.88,53564.88,53564.88,0.0,0.0,0.0,0.0,1.0,0,,Approved,51.0,Unmarried,Female,Own,Professional,Other,Full-Time,252.0,0.0,Debt Consolidation,4773.46,False,0,0,0,0,4773.46,8.47103615751455,252.0,0,Senior,0,656.0,B,966.9011111111112,0.0,57.55571428571422,3.637247793991384,0
CONT100004,C302107453,Unsecured Personal Loan,,2023-08-28,48.0,29073.86,30510.11,30510.11,30510.11,0.0,0.0,0.0,0.0,1.0,0,,Approved,27.0,Unmarried,Male,Family,Clerical Support Worker,Unknown,Full-Time,16.0,0.0,Debt Consolidation,2474.5,True,0,0,1,0,2474.5,7.814197674801478,16.0,0,Emerging,0,250.0,E,1012.9222222222221,0.0,-126.38000000000007,3.162528590257015,0
CONT100005,C302107447,Unsecured Personal Loan,,2023-08-27,48.0,11723.33,12302.46,12302.46,12302.46,0.0,0.0,0.0,0.0,1.0,0,,Approved,25.0,Unmarried,Female,Family,Clerical Support Worker,Unknown,Full-Time,18.0,0.0,Home Improvement,1313.01,False,0,0,1,0,1313.01,7.180838809365673,18.0,0,Emerging,0,,,722.3,0.0,16.70285714285703,2.6444862172170143,0
CONT100006,C302107451,Unsecured Personal Loan,,2024-08-28,60.0,50734.54,50734.54,50734.54,50734.54,0.0,0.0,0.0,0.0,1.0,0,,Approved,45.0,Married,Female,Family,Professional,Education,Full-Time,216.0,1.0,Debt Consolidation,4231.06,False,0,0,0,0,4231.06,8.350444151131395,216.0,0,Established,1,688.0,A,337.15666666666664,0.0,34.61799999999998,1.5748837805327813,0
CONT100007,C302107414,Unsecured Personal Loan,,2022-08-21,36.0,10082.06,10555.62,10555.62,10555.62,0.0,0.0,0.0,0.0,1.0,0,,Approved,24.0,Unmarried,Male,Family,Service and Sales Worker,Transportation & Communication,Full-Time,34.0,0.0,Other,3371.51,False,0,0,0,0,3371.51,8.123412553236893,34.0,0,Young,0,552.0,E,250.49333333333334,0.0,-56.37142857142862,2.56444344018822,0
CONT100008,C302107433,Unsecured Personal Loan,,2024-08-26,60.0,12335.87,12335.87,12335.87,12335.87,0.0,0.0,0.0,0.0,1.0,0,,Approved,34.0,Married,Female,Family,Clerical Support Worker,Retailing,Full-Time,33.0,3.0,Other,2304.83,False,0,0,0,0,2304.83,7.743195977382963,33.0,0,Emerging,1,661.0,B,1299.2266666666667,0.0,14.45857142857162,2.191276756578924,0
CONT100009,C302107415,Unsecured Personal Loan,,2022-08-21,36.0,11488.86,12040.56,12040.56,12040.56,0.0,0.0,0.0,0.0,1.0,0,,Approved,28.0,Unmarried,Female,Family,Officer,Other,Full-Time,23.0,0.0,Other,6091.66,False,0,0,0,0,6091.66,8.714840046951817,23.0,0,Emerging,0,606.0,D,751.0377777777778,0.0,183.7585714285715,1.5642456934324456,0
CONT100010,C302107462,Unsecured Personal Loan,,2022-08-31,36.0,11057.66,11057.66,11057.66,11057.66,0.0,0.0,0.0,0.0,1.0,0,,Approved,28.0,Other,Male,Family,Clerical Support Worker,Other,Contract,93.0,1.0,Home Improvement,1499.45,False,0,0,0,0,1499.45,7.3135203420993,93.0,0,Emerging,1,612.0,C,312.6166666666667,0.0,-54.69999999999999,4.562728880522858,0
CONT100011,C302107440,Unsecured Personal Loan,,2022-02-27,30.0,2611.58,2611.58,2611.58,2611.58,0.0,0.0,0.0,0.0,1.0,0,,Approved,33.0,Unmarried,Male,Family,Elementary Occupation,Unknown,Full-Time,79.0,0.0,Home Improvement,937.87,False,0,0,1,0,937.87,6.844677024469428,79.0,0,Emerging,0,,,21.564444444444444,0.0,-15.034285714285755,2.9198422833443076,0
CONT100012,C302107408,Unsecured Personal Loan,,2024-08-21,60.0,51825.93,51825.93,51825.93,51825.93,0.0,0.0,0.0,0.0,1.0,0,,Approved,35.0,Unmarried,Male,Rent,Professional,Education,Full-Time,132.0,0.0,Debt Consolidation,17223.98,False,0,0,0,0,17223.98,9.754115934778136,132.0,0,Established,0,613.0,C,5732.552222222222,0.0,54.0071428571429,2.0899889720714313,0
CONT100013,C302107413,Unsecured Personal Loan,,2024-08-28,60.0,28437.49,28437.49,28437.49,28437.49,0.0,0.0,0.0,0.0,1.0,0,,Approved,41.0,Unmarried,Female,Rent,Clerical Support Worker,Unknown,Full-Time,257.0,0.0,Debt Consolidation,2343.0,True,0,0,1,0,2343.0,7.759614150696903,257.0,0,Established,0,650.0,B,1350.0766666666666,0.0,9.483000000000256,3.5800228714873312,0
CONT100014,C302107459,Unsecured Personal Loan,,2024-09-01,60.0,10365.18,10365.18,10365.18,10365.18,0.0,0.0,0.0,0.0,1.0,0,,Approved,39.0,Married,Male,Family,Professional,Civil Service,Full-Time,213.0,0.0,Debt Consolidation,4438.29,True,0,0,0,0,4438.29,8.398249732729408,213.0,0,Established,0,626.0,C,234.214,0.0,7.294285714285743,8.92241317657334,0
CONT100015,C302107374,Unsecured Personal Loan,,2022-08-17,36.0,14760.42,14760.42,14760.42,14760.42,0.0,0.0,0.0,0.0,1.0,0,,Approved,39.0,Unmarried,Male,Family,Clerical Support Worker,Civil Service,Full-Time,216.0,0.0,Education,4153.68,True,0,0,0,0,4153.68,8.33199068867989,216.0,0,Established,0,598.0,D,191.11777777777777,0.0,15.74714285714286,2.317799351655186,0
CONT100016,C302107425,Unsecured Personal Loan,,2024-08-30,60.0,44422.23,44422.23,44422.23,44422.23,0.0,0.0,0.0,0.0,1.0,0,,Approved,39.0,Married,Male,Own,Officer,Other,Full-Time,208.0,1.0,Debt Consolidation,5907.91,True,0,0,0,0,5907.91,8.684216660226127,208.0,0,Established,1,627.0,C,520.8758333333334,0.0,37.63222222222219,4.28383364477117,0
CONT100017,C302107405,Unsecured Personal Loan,,2022-08-21,36.0,7034.0,7364.38,7364.38,7364.38,0.0,0.0,0.0,0.0,1.0,0,,Approved,20.0,Unmarried,Male,Family,Service and Sales Worker,Other,Full-Time,16.0,0.0,Other,1137.94,False,0,0,0,0,1137.94,7.037853284272126,16.0,0,Young,0,,,1649.132222222222,0.0,214.04142857142855,1.5172300680570878,0
CONT100018,C302107444,Unsecured Personal Loan,,2023-08-28,48.0,25867.67,25867.67,25867.67,25867.67,0.0,0.0,0.0,0.0,1.0,0,,Approved,31.0,Unmarried,Female,Rent,"Skilled Agricultural, Forestry",Other,Contract,22.0,0.0,Debt Consolidation,1810.88,False,0,0,0,0,1810.88,7.502120259244378,22.0,0,Emerging,0,645.0,C,629.4300000000001,0.0,26.18875,3.4964909528989456,0
CONT100019,C302107456,Unsecured Personal Loan,,2025-08-31,72.0,117233.29,123641.27,123641.27,123641.27,0.0,0.0,0.0,0.0,1.0,0,,Approved,42.0,Married,Male,Family,Employee,Civil Service,Full-Time,245.0,2.0,Debt Consolidation,6276.53,True,0,0,0,0,6276.53,8.744731869992842,245.0,0,Established,1,,,1379.2766666666666,0.0,66.05142857142872,3.063447433786637,0
CONT100020,C302107357,Unsecured Personal Loan,,2022-08-12,36.0,12292.15,12292.15,12292.15,12292.15,0.0,0.0,0.0,0.0,1.0,0,,Approved,29.0,Unmarried,Male,Rent,Clerical Support Worker,Other,Full-Time,28.0,0.0,Debt Consolidation,3197.0,False,0,0,0,0,3197.0,8.0702808933939,28.0,0,Emerging,0,583.0,D,413.421,0.0,300.8285714285715,4.569742834195206,0
CONT100021,C302107383,Unsecured Personal Loan,,2023-08-19,48.0,7990.2,7990.2,7990.2,7990.2,0.0,0.0,0.0,0.0,1.0,0,,Approved,21.0,Unmarried,Male,Family,Armed Forces Occupation,Civil Service,Full-Time,16.0,0.0,Other,3149.86,True,0,0,0,0,3149.86,8.055430710430644,16.0,0,Young,0,,,371.5133333333333,0.0,136.97000000000003,1.9912171429684038,0
